minute,s1_final_HR,s2_final_HR,s3_final_HR,s4_final_HR,s5_final_HR,s6_final_HR,s7_final_HR,s8_final_HR,s9_final_HR,s10_final_HR,test_progress,avg_HR
149,95.08500000000001,93.6,69.8,71.33,75.52,84.32,83.43,103.08,82.77,76.4,0.8277777777777777,83.5335
150,83.25399999999999,106.37999999999998,76.75,70.32,83.82,76.6,78.37999999999998,96.93,85.3,74.12000000000002,0.8333333333333334,83.18539999999999
151,80.73116666666667,104.28,77.32,74.95,84.0,93.92,79.93,87.58,80.45,88.98,0.8388888888888889,85.21411666666667
152,72.81400000000001,108.25,62.7,71.35,102.6,84.97,86.53,86.42,82.08,107.25,0.8444444444444444,86.49640000000001
153,75.03099999999999,103.68,61.0,86.62000000000002,105.67,85.72,81.18,74.2,78.87999999999998,88.05,0.85,84.0031
154,77.454,103.77,65.88,114.1,102.25,66.23,68.2,94.48,115.55,92.8,0.8555555555555555,90.0714
155,86.52433333333333,98.83,73.85,123.85,95.28,87.83,87.8,83.35,80.7,89.33,0.8611111111111112,90.73443333333334
156,87.01383333333334,101.98,89.37999999999998,138.17,96.48,75.18,108.42,84.37000000000002,88.92,66.12,0.8666666666666667,93.60338333333331
157,95.2495,105.68,79.52,121.43,99.95,71.53,112.58,70.32,86.67,57.67,0.8722222222222222,90.05995
158,89.66216666666666,105.62999999999998,108.03,101.82,99.27,66.12,96.47,58.78,75.8,76.12000000000002,0.8777777777777778,87.77021666666666
159,89.76733333333333,104.6,71.57,74.72,100.45,68.85,85.3,73.87000000000002,83.35,67.57,0.8833333333333333,82.00473333333332
160,105.19683333333334,98.87999999999998,73.28,75.6,95.7,64.33,65.07,80.25,83.48,71.82,0.8888888888888888,81.36068333333333
161,91.88116666666666,110.77,84.08,75.67,92.9,73.98,90.97,88.25,75.8,77.37000000000002,0.8944444444444445,86.16711666666666
162,97.9885,109.73,78.92,80.87000000000002,101.12999999999998,79.75,68.95,71.6,62.78,84.3,0.9,83.60185
163,75.738,91.8,91.43,67.48,104.72,71.43,57.87,80.28,87.65,72.57,0.9055555555555556,80.09679999999999
164,69.3395,105.35,81.57,79.05,96.83,79.7,87.87999999999998,76.52,81.03,83.05,0.9111111111111111,84.03194999999998
165,78.91483333333333,106.08,82.53,71.5,99.82,72.67,89.23,89.87999999999998,72.32,82.9,0.9166666666666666,84.58448333333332
166,72.62133333333333,105.22,86.08,79.62999999999998,100.77,68.97,83.45,78.07,81.17,77.85,0.9222222222222223,83.38313333333333
167,88.13883333333334,104.8,92.17,91.67,103.75,71.62999999999998,79.0,87.72,87.73,78.7,0.9277777777777778,88.53088333333334
168,84.53766666666667,106.82,78.78,94.75,94.72,67.6,87.03,99.78,79.62999999999998,79.42,0.9333333333333333,87.30676666666666
169,82.75949999999999,107.75,76.7,67.17,57.58,69.57,80.03,103.75,82.15,88.03,0.9388888888888889,81.54894999999999
170,80.213,106.48,86.7,83.12000000000002,84.87000000000002,79.55,79.7,95.2,78.08,89.48,0.9444444444444444,86.33930000000001
171,110.16233333333334,102.52,73.82,79.12000000000002,99.28,71.43,97.9,113.25,75.52,76.65,0.95,89.96523333333332
172,149.81533333333334,76.95,69.62999999999998,95.6,117.45,72.22,106.37999999999998,109.65,87.77,66.62,0.9555555555555556,95.20853333333332
173,94.74716666666667,92.92,73.92,89.4,118.65,73.93,82.87000000000002,103.57,78.97,82.0,0.9611111111111111,89.09771666666668
174,107.21383333333333,98.75,68.92,76.65,98.98,82.43,69.0,93.82,57.03,76.72,0.9666666666666667,82.95138333333333
175,95.71350000000001,96.02,93.52,89.65,75.62000000000002,70.15,74.35,84.15,73.87000000000002,64.03,0.9722222222222222,81.70734999999999
176,93.59183333333334,100.95,83.52,122.53,80.02,66.35,89.65,77.22,80.02,77.85,0.9777777777777777,87.17018333333333
177,77.87866666666667,99.3,73.18,101.3,102.62999999999998,63.45,90.82,120.1,99.6,78.68,0.9833333333333333,90.6938666666667
178,81.875,100.23,72.95,86.03,89.6,66.98,73.78,122.1,109.58,110.9,0.9888888888888889,91.4025
179,105.04666666666667,97.42,83.77,104.42,83.23,70.77,81.32,100.37999999999998,85.33,102.37000000000002,0.9944444444444445,91.40566666666668
180,104.39183333333334,104.7,82.0,109.02,78.28,58.37,82.58,79.9,80.48,75.42,1.0,85.51418333333334
